timestamp,name,old_price,new_price,price_change,price_trend,price_change_amount,price_change_percent,image_url,full_content,scraped_at
今天 22:39,,175,178.99,175 >> 178.99,,,,https://img.zbt.com/e/steam/item/730/QUstNDcgfCBJY2UgQ29hbGVkIChGYWN0b3J5IE5ldyk=.png,今天 22:39BUFFAK-47 | 可燃冰 (崭新出厂)在售价¥ 175 >> 178.99在售数1247 >> 1223求购价¥ 167 >> 169求购数¥ 223 >> 225在售列表均价上涨4.22 (2.40%)¥,2026-03-14T22:44:30.960143
今天 22:37,,160,160,160 >> 160,,,,https://img.zbt.com/e/steam/item/730/UDIwMDAgfCBBY2lkIEV0Y2hlZCAoRmFjdG9yeSBOZXcp.png,今天 22:37BUFFP2000 | 酸蚀 (崭新出厂)在售价¥ 160 >> 160在售数106 >> 106求购价¥ 142 >> 142求购数¥ 77 >> 75在售列表均价上涨5.20 (3.18%)¥,2026-03-14T22:44:30.960201
今天 22:33,,39.7,41.8,39.7 >> 41.8,,,,https://img.zbt.com/e/steam/item/730/WE0xMDE0IHwgQmxhY2sgVGllIChGYWN0b3J5IE5ldyk=.png,今天 22:33BUFFXM1014 | 西装革履 (崭新出厂)在售价¥ 39.7 >> 41.8在售数158 >> 156求购价¥ 38 >> 38.3求购数¥ 65 >> 69在售列表均价上涨1.17 (2.80%)¥,2026-03-14T22:44:30.960231
今天 22:18,,3300,3230,3300 >> 3230,,,,https://img.zbt.com/e/steam/item/730/4piFIE1vdG8gR2xvdmVzIHwgU21va2UgT3V0IChNaW5pbWFsIFdlYXIp.png,今天 22:18YOUPIN摩托手套（★） | 小心烟雾弹 (略有磨损)在售价¥ 3300 >> 3230在售数67 >> 72求购价¥ 3210 >> 3210求购数¥ 57 >> 53在售列表均价下跌-100.60 (-2.96%)¥,2026-03-14T22:44:30.960328
今天 22:07,,150.99,160,150.99 >> 160,,,,https://img.zbt.com/e/steam/item/730/UDIwMDAgfCBBY2lkIEV0Y2hlZCAoRmFjdG9yeSBOZXcp.png,今天 22:07BUFFP2000 | 酸蚀 (崭新出厂)在售价¥ 150.99 >> 160在售数113 >> 106求购价¥ 142 >> 142求购数¥ 78 >> 77在售列表均价上涨7.37 (4.71%)¥,2026-03-14T22:44:30.960371
今天 22:07,,115,123,115 >> 123,,,,https://img.zbt.com/e/steam/item/730/QVdQIHwgQ2FwaWxsYXJ5IChGYWN0b3J5IE5ldyk=.png,今天 22:07BUFFAWP | 毛细血管 (崭新出厂)在售价¥ 115 >> 123在售数79 >> 70求购价¥ 109 >> 109求购数¥ 120 >> 111在售列表均价上涨15.49 (13.07%)¥,2026-03-14T22:44:30.960396
今天 22:04,,74.89,75,74.89 >> 75,,,,https://img.zbt.com/e/steam/item/730/TUFDLTEwIHwgTGFzdCBEaXZlIChGYWN0b3J5IE5ldyk=.png,今天 22:04BUFFMAC-10 | 绝界之行 (崭新出厂)在售价¥ 74.89 >> 75在售数92 >> 85求购价¥ 71 >> 65求购数¥ 136 >> 133在售列表均价上涨3.14 (4.16%)¥,2026-03-14T22:44:30.960418
今天 22:02,,101.95,103,101.95 >> 103,,,,https://img.zbt.com/e/steam/item/730/QUstNDcgfCBTYWZhcmkgTWVzaCAoRmFjdG9yeSBOZXcp.png,今天 22:02BUFFAK-47 | 狩猎网格 (崭新出厂)在售价¥ 101.95 >> 103在售数153 >> 149求购价¥ 96 >> 97求购数¥ 245 >> 247在售列表均价上涨2.17 (2.10%)¥,2026-03-14T22:44:30.960439
今天 21:38,,115,118,115 >> 118,,,,https://img.zbt.com/e/steam/item/730/Rml2ZS1TZXZlTiB8IEJvb3N0IFByb3RvY29sIChGYWN0b3J5IE5ldyk=.png,今天 21:38BUFFFN57 | 同步力场 (崭新出厂)在售价¥ 115 >> 118在售数225 >> 224求购价¥ 110 >> 110求购数¥ 62 >> 59在售列表均价上涨3.49 (2.87%)¥,2026-03-14T22:44:30.960459
今天 21:38,,36,38.99,36 >> 38.99,,,,https://img.zbt.com/e/steam/item/730/Rml2ZS1TZXZlTiB8IEJvb3N0IFByb3RvY29sIChNaW5pbWFsIFdlYXIp.png,今天 21:38BUFFFN57 | 同步力场 (略有磨损)在售价¥ 36 >> 38.99在售数256 >> 252求购价¥ 35.5 >> 35.5求购数¥ 72 >> 72在售列表均价上涨1.37 (3.59%)¥,2026-03-14T22:44:30.960481
今天 21:38,,109,109,109 >> 109,,,,https://img.zbt.com/e/steam/item/730/QVdQIHwgRXhvc2tlbGV0b24gKE1pbmltYWwgV2Vhcik=.png,今天 21:38BUFFAWP | 亡灵之主 (略有磨损)在售价¥ 109 >> 109在售数188 >> 190求购价¥ 106 >> 106求购数¥ 64 >> 65在售列表均价下跌-2.70 (-2.29%)¥,2026-03-14T22:44:30.960503
今天 21:36,,137,132,137 >> 132,,,,https://img.zbt.com/e/steam/item/730/RGVzZXJ0IEVhZ2xlIHwgTWVjaGEgSW5kdXN0cmllcyAoRmFjdG9yeSBOZXcp.png,今天 21:36BUFF沙漠之鹰 | 机械工业 (崭新出厂)在售价¥ 137 >> 132在售数696 >> 702求购价¥ 127 >> 127求购数¥ 152 >> 151在售列表均价下跌-3.25 (-2.35%)¥,2026-03-14T22:44:30.960524
今天 21:34,,2347.23,2400,2347.23 >> 2400,,,,https://img.zbt.com/e/steam/item/730/U1NHIDA4IHwgRHJhZ29uZmlyZSAoTWluaW1hbCBXZWFyKQ==.png,今天 21:34BUFFSSG 08 | 炎龙之焰 (略有磨损)在售价¥ 2347.23 >> 2400在售数278 >> 274求购价¥ 2220 >> 2240求购数¥ 79 >> 83在售列表均价上涨63.13 (2.52%)¥,2026-03-14T22:44:30.960544
今天 21:34,,2944,2930,2944 >> 2930,,,,https://img.zbt.com/e/steam/item/730/TTRBNCB8IEJ1enogS2lsbCAoTWluaW1hbCBXZWFyKQ==.png,今天 21:34BUFFM4A4 | 喧嚣杀戮 (略有磨损)在售价¥ 2944 >> 2930在售数286 >> 295求购价¥ 2840 >> 2830求购数¥ 73 >> 72在售列表均价下跌-65.20 (-2.17%)¥,2026-03-14T22:44:30.960565
今天 21:33,,39.8,38,39.8 >> 38,,,,https://img.zbt.com/e/steam/item/730/WE0xMDE0IHwgQmxhY2sgVGllIChGYWN0b3J5IE5ldyk=.png,今天 21:33BUFFXM1014 | 西装革履 (崭新出厂)在售价¥ 39.8 >> 38在售数159 >> 159求购价¥ 38 >> 38求购数¥ 65 >> 65在售列表均价下跌-0.95 (-2.25%)¥,2026-03-14T22:44:30.960587
今天 21:32,,99.86,101.95,99.86 >> 101.95,,,,https://img.zbt.com/e/steam/item/730/QUstNDcgfCBTYWZhcmkgTWVzaCAoRmFjdG9yeSBOZXcp.png,今天 21:32BUFFAK-47 | 狩猎网格 (崭新出厂)在售价¥ 99.86 >> 101.95在售数163 >> 153求购价¥ 92 >> 96求购数¥ 236 >> 245在售列表均价上涨2.37 (2.35%)¥,2026-03-14T22:44:30.960608
